Station Name, Address, Branches,Farezone,Milepost,Parking Capacity
103rd St. - Washington Heights,10335 S. Vicennes Ave.,RI-Main,C,12.0,267 (2014)
103rd Street (Beverly Hills),10301 S. Walden Pkwy.,RI-Branch,C,12.8,267 (2014)
103rd Street (Rosemoor),103rd St. and Cottage Grove Ave.,Elec-ML,C,13.0,38 (2014)
107th Street,107th St. and Cottage Grove Ave.,Elec-ML,C,13.5,0 (2014)
107th Street (Beverly Hills),1901 W. 107th St.,RI-Branch,C,13.3,331 (2014)
111th Street,111th St. and Cottage Grove Ave.,Elec-ML,C,14.0,0 (2014)
111th Street (Morgan Park),11046 S. Hale Ave.,RI-Branch,C,13.8,388 (2014)
115th Street (Morgan Park),11445 S. Hale Ave.,RI-Branch,C,14.3,104 (2014)
119th Street,2040 W. 119th St.,RI-Branch,C,14.8,245 (2014)
123rd Street,2120 W. 123rd St.,RI-Branch,D,15.2,0 (2014)
143rd Street (Orland Park),143rd St. and Southwest Hwy.,SWS,E,23.6,411 (2014)
147th Street (Sibley Boulevard),147th St. and Clinton St.,Elec-ML,D,19.0,1121 (2014)
153rd Street (Orland Park),10401 W. 153rd St.,SWS,E,25.2,1376 (2014)
179th Street (Orland Park),179th St. and Southwest Hwy.,SWS,F,28.9,315 (2014)
18th Street,18th St. (near Calumet Ave.),Elec-ML,A,2.2,0 (2014)
211th Street (Lincoln Highway),211th St. (between Olympian Way and Olympian Cir.),Elec-ML,F,27.6,694 (2014)
27th Street,27th St. (E. of Ellis Ave.),Elec-ML,A,3.2,0 (2014)
35th Street / 'Lou' Jones / Bronzeville,106 W. 35th St.,RI-Main,A,3.2,0 (2012)
47th Street (Kenwood),47th St. (near Lake Park Ave.),Elec-ML,B,5.9,0 (2014)
53rd Street (Hyde Park),53rd St. (at Lake Park Ave.),Elec-ML,B,6.5,0 (2014)
55th-56th-57th Street,55th to 57th Sts. (at Lake Park Ave.),"So Shore, Elec-ML",B,7.0,53 (2014)
59th Street (University of Chicago),59th St. and Harper St.,Elec-ML,B,7.4,126 (2014)
63rd Street,63rd St. and Dorchester St.,"So Shore, Elec-ML",B,7.9,0 (2014)
75th Street (Grand Crossing),75th St. and South Chicago Ave.,Elec-ML,B,9.3,0 (2014)
79th Street (Chatham),79th St. (near Greenwood St.),Elec-ML,B,10.0,27 (2014)
80th Avenue (Tinley Park),18001 S. 80th Ave.,RI-Main,E,25.1,2126 (2014)
83rd Street,83rd St. (at Exchange Ave.),Elec-SC,B,12.0,33 (2014)
83rd Street (Avalon Park),83rd St. (near Ellis St.),Elec-ML,C,10.4,0 (2014)
87th Street,87th St. (1 blk. E. of Commercial Ave.),Elec-SC,B,12.5,40 (2014)
87th Street (Woodruff),87th St. and Dauphin St.,Elec-ML,C,10.9,15 (2014)
91st Street (Beverly Hills),9105 S. Prospect Sq.,RI-Branch,C,11.3,189 (2014)
91st Street (Chesterfield),91st St. and Dauphin St.,Elec-ML,C,11.4,0 (2014)
93rd Street (South Chicago),93rd St.,Elec-SC,B,13.2,702 (2014)
95th Street (Beverly Hills),1766 W. 95th St.,RI-Branch,C,11.7,187 (2014)
95th Street (Chicago State University),95th St. and Cottage Grove Ave.,Elec-ML,C,12.0,0 (2014)
99th Street (Beverly Hills),9901 S. Walden Pkwy.,RI-Branch,C,12.3,99 (2014)
Antioch,305 Depot Street,NCS,K,52.8,316 (2014)
Arlington Heights,19 E. Northwest Highway,UP-NW,E,22.8,2238 (2014)
Arlington Park,2121 W. Northwest Highway,UP-NW,E,24.4,1031 (2014)
Ashburn,83rd St. and Central Park,SWS,C,12.6,140 (2014)
Ashland Avenue,Ashland Ave. (near 124th St.),Elec-BI,D,17.9,89 (2014)
Aurora,233 N. Broadway,BNSF,H,37.5,1633 (2014)
Barrington,201 S. Spring Street,UP-NW,G,31.9,951 (2014)
Bartlett,Oak Ave. and Railroad Ave.,Milw-W,F,30.1,740 (2014)
Bellwood,105 Frederick Ave.,UP-W,C,12.6,194 (2014)
Belmont,5000 Belmont Ave.,BNSF,E,22.6,901 (2014)
Belmont Ave. (Franklin Park),9280 Belmont Ave.,NCS,C,13.0,92 (2014)
Bensenville,110 W. Main St.,Milw-W,D,17.2,202 (2014)
Berkeley,5900 W. Park Ave.,UP-W,C,14.3,125 (2014)
Berwyn,6801 W. Windsor Ave.,BNSF,B,9.6,530 (2014)
Big Timber Road,2025 Big Timber Rd.,Milw-W,H,39.8,720 (2014)
Blue Island,Vermont St. (near Irving St.),Elec-BI,D,18.9,see Vermont St.
Blue Island (Vermont Street),2300 W. Grove St.,RI-Main,D,15.7,847 (2014)
Braeside,10 N. St. John's Ave.,UP-N,E,20.5,142 (2014)
Brainerd,8901 S. Loomis Blvd.,RI-Branch,C,10.6,263 (2014)
Brookfield,8858 Burlington Ave.,BNSF,C,12.3,202 (2014)
Bryn Mawr,71st St. (at Jeffrey Blvd.),Elec-SC,B,9.7,0 (2014)
Buffalo Grove,825 Commerce Ct.,NCS,F,29.5,1050 (2014)
Burr Oak,Burr Oak (near Lincoln St.),Elec-BI,D,18.4,60 (2014)
Calumet,Park Ave. and 174th St.,Elec-ML,E,22.8,1184 (2014)
Cary,100 W. Main St. (at Northwest Hwy.),UP-NW,H,38.6,596 (2014)
Central Street (Evanston),1601 Central Ave.,UP-N,C,13.3,310 (2014)
Cheltenham (79th Street),79th St. (at Exchange Ave.),Elec-SC,B,11.5,13 (2014)
Chicago Ridge,103rd St. and Ridgeland,SWS,D,16.8,431 (2014)
Cicero,26th and Cicero,BNSF,B,7.0,308 (2014)
Clarendon Hills,1 S. Prospect Ave.,BNSF,D,18.3,304 (2014)
Clybourn,2001 N. Ashland Ave.,"UP-NW, UP-N",A,2.9,32 (2014)
College Avenue,1295 E. College Ave.,UP-W,E,23.8,597 (2014)
Congress Park,1/2 mi. W. of Maple St. (on Burlington Ave.),BNSF,C,13.1,88 (2014)
Crystal Lake,Woodstock Ave. and Grant St.,UP-NW,I,43.2,1097 (2014)
Cumberland,475 N. Northwest Highway,UP-NW,D,18.6,257 (2014)
Davis Street (Evanston),901 Davis St.,UP-N,C,12.0,59 (2014)
Dee Road,881 N. Dee Road,UP-NW,C,15.0,172 (2014)
Deerfield,"860 Deerfield Rd., 2 blks. W. of Rt. 43",Milw-N,E,24.2,621 (2014)
Des Plaines,1501 Miner St. (at Lee St.),UP-NW,D,17.1,314 (2014)
Edgebrook,6402 N. Central,Milw-N,C,11.6,193 (2014)
Edison Park,6700 N. Olmstead Ave.,UP-NW,C,12.6,261 (2014)
Elburn,350 S. Anderson Rd.,UP-W,I,43.6,597 (2014)
Elgin,109 W. Chicago St.,Milw-W,H,36.6,147 (2014)
Elmhurst,128 W. 1st St. (at York Rd.),UP-W,D,15.7,1265 (2014)
Elmwood Park,7600 W. Grand Ave.,Milw-W,C,10.2,135 (2014)
Fairview Avenue (Downers Grove),Fairview Ave. and Burlington Ave.,BNSF,E,20.4,280 (2014)
Flossmoor,Flossmoor Rd. and Sterling Rd.,Elec-ML,E,24.9,275 (2014)
Forest Glen,5301 N. LeClaire,Milw-N,C,10.2,101 (2014)
Fort Sheridan,461 W. Old Elm Rd.,UP-N,F,25.7,288 (2014)
Fox Lake,Nippersink Blvd. At Grand Ave.,Milw-N,J,49.5,452 (2014)
Fox River Grove,4015 N. Northwest Highway,UP-NW,H,37.3,298 (2014)
Franklin Park,3148 Rose St.,Milw-W,C,13.2,274 (2014)
Galewood,2031 N. Narragansett,Milw-W,B,8.6,131 (2014)
Geneva,328 Crescent Place,UP-W,H,35.5,988 (2014)
Gladstone Park,5500 N. Austin Blvd.,UP-NW,B,10.1,34 (2014)
Glen Ellyn,551 Crescent Blvd ( at Main St.),UP-W,E,22.4,727 (2014)
Glencoe,724 Green Bay Rd.,UP-N,D,19.2,443 (2014)
Glenview,1021 Depot Ave.,Milw-N,D,17.4,696 (2014)
Golf,195 N. Waukegan,Milw-N,D,16.2,35 (2014)
Grand / Cicero,1833 N. Cicero Ave.,Milw-W,B,6.6,0 (2014)
Grayland,3805 N. Kilbourn St.,Milw-N,B,8.2,21 (2014)
Grayslake,Lake St. and St. Paul St.,Milw-N,I,41.0,663 (2014)
Great Lakes,2840 S. Sheridan Rd.,UP-N,G,32.2,144 (2014)
Gresham,820 W. 87th St.,RI-Main,B,9.8,306 (2014)
Halsted Street,16th and Halsted St.,BNSF,A,1.8,0 (2014)
Hanover Park,Ontarioville Rd. and Route 20,Milw-W,F,28.4,1372 (2014)
Hanson Park,Parkside and Armitage Ave.,Milw-W,B,7.7,29 (2014)
